6:46:بەك ئامراق:37:1796:سەت:2:95581,95627
34:176:ياخشى بولاتتى:5:59:ئازار:2:61082,61097
34:176:ياخشى بولاتتى:27:401:ئاجىز:1:60104
34:176:ياخشى بولاتتى:28:552:خاتالىق:2:60104,100333
60:101:ئىشنى قىل:6:240:قالايمىقان:1:111005
60:101:ئىشنى قىل:14:42:ئاۋارىچىلىق:2:91372,91373
60:101:ئىشنى قىل:26:44:سەۋەنلىك:1:35557
60:101:ئىشنى قىل:28:552:خاتالىق:3:11601,84126,100333
60:101:ئىشنى قىل:37:1796:سەت:3:17316,29428,111005
63:95:ناھايىتى ياخشى:27:401:ئاجىز:1:111248
63:95:ناھايىتى ياخشى:37:1796:سەت:3:5949,91675,91676
68:10:ئوڭۇشلۇق بولسۇن:37:1796:سەت:1:27776
69:106:دەم ئېلىش:14:42:ئاۋارىچىلىق:1:109541
69:106:دەم ئېلىش:37:1796:سەت:2:58312,58487
75:406:مۇبارەك بولسۇن:23:87:غەيرى:1:101767
75:406:مۇبارەك بولسۇن:32:111:ساختا:1:71069
75:406:مۇبارەك بولسۇن:37:1796:سەت:3:99149,108203,111322
104:335:بەك ياخشى:5:59:ئازار:1:93126
104:335:بەك ياخشى:17:110:قانۇنسىز:1:77013
104:335:بەك ياخشى:27:401:ئاجىز:1:60104
104:335:بەك ياخشى:28:552:خاتالىق:2:60104,86663
104:335:بەك ياخشى:37:1796:سەت:1:93880
105:31:ياخشى ئادەم:13:15:لۈكچەك:1:42423
105:31:ياخشى ئادەم:28:552:خاتالىق:1:93519
105:31:ياخشى ئادەم:32:111:ساختا:1:46010
109:13:ساپ ھاۋا:22:177:قايغۇ:2:58123,75171
109:13:ساپ ھاۋا:37:1796:سەت:1:58123
116:8:بەك كەڭ:28:552:خاتالىق:3:94699,94726,94744
138:41:بايرىمىڭلارغا مۇبارەك:23:87:غەيرى:1:101767
138:41:بايرىمىڭلارغا مۇبارەك:37:1796:سەت:2:99149,108203
165:33:بەك چىرايلىق:27:401:ئاجىز:1:74902
179:1:سۆھبەتنىڭ ياخشى:37:1796:سەت:1:61900
185:41:كېرەك دەپ:5:59:ئازار:1:26135
185:41:كېرەك دەپ:14:42:ئاۋارىچىلىق:1:91295
185:41:كېرەك دەپ:37:1796:سەت:1:102225
195:31:ناھايىتى زور:6:240:قالايمىقان:1:47383
195:31:ناھايىتى زور:28:552:خاتالىق:1:107545
195:31:ناھايىتى زور:37:1796:سەت:3:4844,11270,15087
211:46:ۋاقىت چىقىرىپ:37:1796:سەت:2:88242,98888
222:6:بۈگۈنكى كۈنگە:37:1796:سەت:1:103878
227:313:ئۈمىد قىلىمەن:6:240:قالايمىقان:3:83961,84192,87731
227:313:ئۈمىد قىلىمەن:28:552:خاتالىق:2:73961,99057
227:313:ئۈمىد قىلىمەن:37:1796:سەت:7:42109,53670,64456,78553,87731,94948,102204
251:21:ھېلىمۇ ياخشى:6:240:قالايمىقان:2:40966,75963
251:21:ھېلىمۇ ياخشى:37:1796:سەت:1:18253
263:261:ياخشى ئىش:2:49:قوپال:2:66137,84534
263:261:ياخشى ئىش:5:59:ئازار:1:72964
263:261:ياخشى ئىش:6:240:قالايمىقان:1:57956
263:261:ياخشى ئىش:8:21:ئاداۋەت:1:44599
263:261:ياخشى ئىش:17:110:قانۇنسىز:1:77013
263:261:ياخشى ئىش:18:68:زوراۋانلىق:1:81364
263:261:ياخشى ئىش:27:401:ئاجىز:3:70998,74725,108546
263:261:ياخشى ئىش:28:552:خاتالىق:4:40843,60715,81819,91223
263:261:ياخشى ئىش:37:1796:سەت:3:106325,106326,108546
264:54:ئىش قىلىپ:6:240:قالايمىقان:2:99136,99229
264:54:ئىش قىلىپ:23:87:غەيرى:1:89174
264:54:ئىش قىلىپ:28:552:خاتالىق:2:84126,108514
267:23:كۆڭلۈم يېرىم:2:49:قوپال:1:78420
267:23:كۆڭلۈم يېرىم:37:1796:سەت:1:32762
268:15:يېرىم بولدى:37:1796:سەت:2:32762,91197
269:103:خېلى كۆپ:27:401:ئاجىز:2:102051,102052
269:103:خېلى كۆپ:28:552:خاتالىق:3:44548,84988,96320
269:103:خېلى كۆپ:37:1796:سەت:2:21554,80576
277:16:چىرايلىق قىز:37:1796:سەت:1:99298
281:1:كۆپ مەنىلىك:27:401:ئاجىز:1:15071
285:9:مول ھوسۇل:22:177:قايغۇ:1:45033
300:15:نېمىدىگەن ياخشى:37:1796:سەت:1:98516
306:5:قايىل قىلدى:37:1796:سەت:1:23065
321:6:ياخشى ئەھۋال:8:21:ئاداۋەت:1:41038
330:11:ئىش بولىدۇ:22:177:قايغۇ:3:77603,77604,77605
361:13:تەرەپكە قاراپ:27:401:ئاجىز:1:22638
370:238:بار ئىكەن:6:240:قالايمىقان:1:65657
370:238:بار ئىكەن:26:44:سەۋەنلىك:1:81422
370:238:بار ئىكەن:28:552:خاتالىق:9:39326,41688,44623,62432,74919,76157,76159,81422,82714
370:238:بار ئىكەن:37:1796:سەت:5:43284,59225,80585,86523,89592
386:7:توي قىلىدىغان:37:1796:سەت:1:108033
391:93:كۈن بولدى:1:58:بىنورمال:2:89278,94189
391:93:كۈن بولدى:28:552:خاتالىق:1:94189
412:16:بەكمۇ ياخشى:37:1796:سەت:1:79956
416:9:چىرايلىق ئىكەن:37:1796:سەت:1:75899
428:7:سوۋغا قىلغان:37:1796:سەت:1:98516
430:300:ئالىي مەكتەپ:28:552:خاتالىق:1:76382
430:300:ئالىي مەكتەپ:33:36:تېتىقسىز:1:68989
430:300:ئالىي مەكتەپ:37:1796:سەت:9:11765,25150,38366,39667,68891,72565,87886,102192,110967
448:32:ئالىي مەكتەپكە:37:1796:سەت:1:11765
462:69:بەك پەيزى:20:9:مەغلۇپ بولۇش:1:42682
462:69:بەك پەيزى:28:552:خاتالىق:1:42682
462:69:بەك پەيزى:32:111:ساختا:1:34446
496:2:ئىگىز تاغ:5:59:ئازار:1:62338
496:2:ئىگىز تاغ:7:76:ئەلەم:1:62338
500:136:تېخىمۇ ياخشى:5:59:ئازار:3:61082,61097,72243
500:136:تېخىمۇ ياخشى:13:15:لۈكچەك:1:74310
504:3:مەبلەغ سالغۇچىلارنى:37:1796:سەت:1:110864
506:39:ياخشى چىقىپتۇ:37:1796:سەت:2:91675,91676
508:37:رول ئالغان:37:1796:سەت:4:54647,89300,91675,91676
515:66:تېز سۈرئەتتە:37:1796:سەت:2:87687,95205
516:27:مۇۋەپپەقىيەت قازىنىشنىڭ:37:1796:سەت:1:95205
541:7:كۈچلۈك دەپ:5:59:ئازار:2:35985,49470
547:2:بەلەن دەپسىز:28:552:خاتالىق:1:94744
549:211:يۇمشاق دېتال:2:49:قوپال:1:55690
549:211:يۇمشاق دېتال:13:15:لۈكچەك:1:92843
549:211:يۇمشاق دېتال:28:552:خاتالىق:3:30306,77874,109344
549:211:يۇمشاق دېتال:37:1796:سەت:1:76065
551:30:خېلى يامان:6:240:قالايمىقان:1:99188
554:76:ياخشى كۆرىدىغان:27:401:ئاجىز:2:42977,43001
554:76:ياخشى كۆرىدىغان:37:1796:سەت:1:110125
593:16:يامان ئەمەسكەن:6:240:قالايمىقان:1:99188
598:74:رەھمەت قىلسۇن:37:1796:سەت:1:98888
626:45:ياخشى بولۇپ:37:1796:سەت:1:65159
639:10:نېسىپ قىلسۇن:22:177:قايغۇ:1:60818
639:10:نېسىپ قىلسۇن:27:401:ئاجىز:1:60818
653:13:ئەڭ ئامراق:6:240:قالايمىقان:2:69573,69600
653:13:ئەڭ ئامراق:27:401:ئاجىز:1:100542
657:25:خېلى ياخشى:28:552:خاتالىق:2:81425,81436
657:25:خېلى ياخشى:37:1796:سەت:1:65159
672:55:رازى بولسۇن:29:121:زەربە:1:47188
676:2:ئۇبۇنتۇ قاچىلاپ:28:552:خاتالىق:1:39232
678:12:بەك پەيزىكەن:32:111:ساختا:1:34446
689:11:ياخشى مەزمۇن:6:240:قالايمىقان:1:75963
698:172:ئاللاھ خالىسا:6:240:قالايمىقان:1:94412
698:172:ئاللاھ خالىسا:28:552:خاتالىق:1:81527
698:172:ئاللاھ خالىسا:37:1796:سەت:3:64369,82098,108586
716:15:قايىل بولدۇم:37:1796:سەت:1:89322
719:50:ئەڭ يېقىن:22:177:قايغۇ:1:75170
719:50:ئەڭ يېقىن:28:552:خاتالىق:1:71347
719:50:ئەڭ يېقىن:37:1796:سەت:2:75255,78221
720:1:يېقىن بەندىلىرىنى:28:552:خاتالىق:1:71347
721:1:بەندىلىرىنى ئېغىر:28:552:خاتالىق:1:71347
722:2:ئېغىر سىناقلار:28:552:خاتالىق:1:71347
724:1:ئاللاھنىڭ ئامراق:28:552:خاتالىق:1:71347
725:3:ئامراق بەندىلىرى:6:240:قالايمىقان:2:69573,69600
725:3:ئامراق بەندىلىرى:28:552:خاتالىق:1:71347
726:1:بەندىلىرى ئوخشايمىز:28:552:خاتالىق:1:71347
728:147:ئەڭ ئاخىرقى:27:401:ئاجىز:1:42461
728:147:ئەڭ ئاخىرقى:28:552:خاتالىق:2:53128,71183
728:147:ئەڭ ئاخىرقى:29:121:زەربە:1:41998
728:147:ئەڭ ئاخىرقى:37:1796:سەت:5:53128,71911,72692,72776,77880
733:36:ياخشى كۆرۈپ:28:552:خاتالىق:1:34776
734:92:مۇمكىن بولسا:18:68:زوراۋانلىق:1:19737
746:21:چوڭقۇر ھېس:7:76:ئەلەم:1:7887
754:180:مىكرو بىلوگ:18:68:زوراۋانلىق:1:86241
754:180:مىكرو بىلوگ:28:552:خاتالىق:1:71710
754:180:مىكرو بىلوگ:37:1796:سەت:1:47528
769:6:ساقلىق زور:29:121:زەربە:1:45863
770:13:زور بايلىق:29:121:زەربە:1:45863
771:11:گۈدۈك دېگەن:28:552:خاتالىق:1:71654
779:1:تىرىشچان رەھىمسىز:37:1796:سەت:1:30999
780:1:رەھىمسىز تېز:37:1796:سەت:1:30999
782:1:رىقابەتچىلەر تاشقى:37:1796:سەت:1:30999
783:1:تاشقى دۇنيادا:37:1796:سەت:1:30999
794:32:مۇھىم ئەمەس:23:87:غەيرى:1:82268
818:68:ھەقىقەتەن ياخشى:37:1796:سەت:1:77050
819:14:ياخشى ئىشلارنى:28:552:خاتالىق:1:40843
822:91:ئادەم يوق:27:401:ئاجىز:1:81953
822:91:ئادەم يوق:28:552:خاتالىق:2:77402,102183
822:91:ئادەم يوق:37:1796:سەت:1:73431
838:377:ئەڭ ياخشى:6:240:قالايمىقان:1:94371
838:377:ئەڭ ياخشى:22:177:قايغۇ:2:60818,88799
838:377:ئەڭ ياخشى:23:87:غەيرى:1:108596
838:377:ئەڭ ياخشى:27:401:ئاجىز:5:26359,52991,55571,60818,90722
838:377:ئەڭ ياخشى:28:552:خاتالىق:1:12945
838:377:ئەڭ ياخشى:37:1796:سەت:3:70039,77311,94371
854:201:تەۋسىيە قىلىمەن:28:552:خاتالىق:1:73344
854:201:تەۋسىيە قىلىمەن:37:1796:سەت:6:49145,70353,86557,95096,95928,95930
880:19:يۇمشاق دېتالنى:13:15:لۈكچەك:1:92843
885:65:كىچىك بالىلار:18:68:زوراۋانلىق:1:5464
885:65:كىچىك بالىلار:27:401:ئاجىز:2:16944,70124
885:65:كىچىك بالىلار:37:1796:سەت:1:89547
889:3:كىشىنى ھاياجانغا:6:240:قالايمىقان:1:59514
890:5:ھاياجانغا سالىدىغان:6:240:قالايمىقان:1:59514
900:85:يامان ئەمەس:6:240:قالايمىقان:1:99188
900:85:يامان ئەمەس:37:1796:سەت:1:73785
902:32:ئۇيغۇرچە مىكرو:7:76:ئەلەم:1:59981
903:103:مىكرو بىلوگى:18:68:زوراۋانلىق:1:86241
903:103:مىكرو بىلوگى:28:552:خاتالىق:1:71710
905:11:دىققەت قىلىشىنى:6:240:قالايمىقان:1:66897
905:11:دىققەت قىلىشىنى:37:1796:سەت:1:89684
906:139:ئۈمىد قىلىمىز:28:552:خاتالىق:2:94721,99774
906:139:ئۈمىد قىلىمىز:37:1796:سەت:3:75785,80722,108586
914:13:مىكرو بىلوگنى:37:1796:سەت:1:47528
920:2:تەرەققىي قىلىشىنى:37:1796:سەت:1:75810
944:35:تاقابىل تۇرۇش:14:42:ئاۋارىچىلىق:1:56018
944:35:تاقابىل تۇرۇش:18:68:زوراۋانلىق:1:90628
944:35:تاقابىل تۇرۇش:29:121:زەربە:1:47875
944:35:تاقابىل تۇرۇش:37:1796:سەت:1:13173
946:7:قايىل قىلىش:37:1796:سەت:1:63279
963:13:غەرق بول:37:1796:سەت:1:5634
972:17:ئۈرۈمچى كەچلىك:37:1796:سەت:1:50510
1002:13:خا خا:29:121:زەربە:1:51692
1010:10:خۇرسەن بولدۇم:6:240:قالايمىقان:1:98455
1023:2:يېرىم مۇۋەپپەقىيەت:14:42:ئاۋارىچىلىق:1:78904
1090:14:ئاخىرقى كۈنى:37:1796:سەت:3:71911,72692,72776
1113:159:ئۇيغۇرچە خەتلىك:27:401:ئاجىز:1:81452
1113:159:ئۇيغۇرچە خەتلىك:32:111:ساختا:1:86525
1113:159:ئۇيغۇرچە خەتلىك:37:1796:سەت:1:76977
1115:13:پەيزى ئىش:20:9:مەغلۇپ بولۇش:1:42682
1115:13:پەيزى ئىش:28:552:خاتالىق:1:42682
1122:11:چىرايلىق قىزلار:37:1796:سەت:1:99298
1132:8:ياخشى كۆرمىگەن:37:1796:سەت:2:56864,58624
1153:16:يوق كىشى:22:177:قايغۇ:1:40486
1153:16:يوق كىشى:27:401:ئاجىز:1:72579
1153:16:يوق كىشى:37:1796:سەت:2:47393,56368
1154:7:كىشى ھەقىقىي:37:1796:سەت:1:9067
1158:79:ئەڭ ياخشىسى:6:240:قالايمىقان:1:94371
1158:79:ئەڭ ياخشىسى:23:87:غەيرى:1:108596
1158:79:ئەڭ ياخشىسى:37:1796:سەت:1:94371
1176:16:ئەڭ ئېسىل:28:552:خاتالىق:1:77192
1176:16:ئەڭ ئېسىل:37:1796:سەت:1:74430
1184:2:ئىچىدە ئۆتسۇن:7:76:ئەلەم:1:74353
1184:2:ئىچىدە ئۆتسۇن:22:177:قايغۇ:1:74353
1191:254:مۇ يە:6:240:قالايمىقان:1:100505
1191:254:مۇ يە:14:42:ئاۋارىچىلىق:1:36213
1191:254:مۇ يە:15:38:ھادىسە:1:8702
1191:254:مۇ يە:22:177:قايغۇ:1:66658
1191:254:مۇ يە:27:401:ئاجىز:2:41545,85181
1191:254:مۇ يە:32:111:ساختا:2:69697,107254
1191:254:مۇ يە:33:36:تېتىقسىز:1:86025
1191:254:مۇ يە:37:1796:سەت:3:14111,19031,41632
1208:7:نورمال ئادەم:1:58:بىنورمال:1:103825
1208:7:نورمال ئادەم:37:1796:سەت:2:85818,85840
1226:41:يېڭى ئىش:37:1796:سەت:1:70038
1248:14:كۆپ بولسىمۇ:2:49:قوپال:1:63340
1248:14:كۆپ بولسىمۇ:37:1796:سەت:1:94546
1252:3:مۇسابىقىنىڭ ئالدىنقى:37:1796:سەت:2:110621,110623
1253:13:ئالدىنقى يېرىم:37:1796:سەت:2:110621,110623
1254:2:يېرىم مەيدانىدا:37:1796:سەت:2:110621,110623
1256:93:ئۇلۇغ ئاللاھ:2:49:قوپال:1:78420
1256:93:ئۇلۇغ ئاللاھ:22:177:قايغۇ:2:97026,97027
1256:93:ئۇلۇغ ئاللاھ:27:401:ئاجىز:1:87209
1256:93:ئۇلۇغ ئاللاھ:32:111:ساختا:1:56858
1256:93:ئۇلۇغ ئاللاھ:37:1796:سەت:2:56864,58624
1258:32:ئاسانلىق بەرسۇن:22:177:قايغۇ:1:97026
1259:6:بەك مودا:23:87:غەيرى:1:67960
1278:4:سالام دەپ:22:177:قايغۇ:1:15790
1288:8:جىق پۇل:37:1796:سەت:1:103327
1290:8:زاۋۇتتىن چىققان:37:1796:سەت:1:52455
1294:5:گەپ يوللاي:14:42:ئاۋارىچىلىق:1:43163
1295:24:خەت يازسام:23:87:غەيرى:1:65500
1295:24:خەت يازسام:37:1796:سەت:1:94018
1306:100:بەك كۆپ:1:58:بىنورمال:1:15769
1306:100:بەك كۆپ:6:240:قالايمىقان:1:85180
1306:100:بەك كۆپ:14:42:ئاۋارىچىلىق:1:90619
1306:100:بەك كۆپ:28:552:خاتالىق:4:69956,75481,93259,108677
1306:100:بەك كۆپ:37:1796:سەت:5:52455,67204,77757,91537,91562
1311:65:يۇقىرى دەرىجىلىك:6:240:قالايمىقان:1:38805
1311:65:يۇقىرى دەرىجىلىك:37:1796:سەت:1:93941
1313:105:تەرەپ قىلىش:6:240:قالايمىقان:1:95985
1313:105:تەرەپ قىلىش:18:68:زوراۋانلىق:2:16703,85985
1313:105:تەرەپ قىلىش:28:552:خاتالىق:3:68465,73961,107189
1313:105:تەرەپ قىلىش:35:19:شەھۋانى:1:52924
1313:105:تەرەپ قىلىش:37:1796:سەت:2:86798,86802
1318:28:قىزىق يېرى:27:401:ئاجىز:1:16599
1318:28:قىزىق يېرى:28:552:خاتالىق:1:85858
1318:28:قىزىق يېرى:37:1796:سەت:1:16603
1322:29:تايىنى يوق:30:25:ئىسراپچىلىق:1:79683
1327:39:ھۆرمەت قىلىش:6:240:قالايمىقان:2:2884,2886
1327:39:ھۆرمەت قىلىش:29:121:زەربە:1:95477
1349:2:قېتىملىق پۇرسەت:37:1796:سەت:2:31594,72894
1377:32:ئەڭ ئۇلۇغ:22:177:قايغۇ:1:41549
1377:32:ئەڭ ئۇلۇغ:37:1796:سەت:1:44822
1387:7:ئاز گەپ:6:240:قالايمىقان:1:48138
1387:7:ئاز گەپ:27:401:ئاجىز:1:48138
1397:50:غەيرەت قىل:23:87:غەيرى:1:82144
1407:79:قۇرۇق گەپ:17:110:قانۇنسىز:1:97731
1407:79:قۇرۇق گەپ:32:111:ساختا:1:97731
1407:79:قۇرۇق گەپ:37:1796:سەت:1:111372
1414:10:ھەقىقەتەن گۈزەل:37:1796:سەت:1:95310
1419:27:ئەزا بولۇپ:27:401:ئاجىز:1:21816
1419:27:ئەزا بولۇپ:37:1796:سەت:1:19403
1444:1:دوستلار يىغىلغاندا:22:177:قايغۇ:1:31716
1445:1:قايغۇلار ئۇنتۇلىدۇ:22:177:قايغۇ:1:31716
1446:1:دوستبۇرادەرلەر داۋاملىق:22:177:قايغۇ:1:31716
1447:1:داۋاملىق ئىزدىشىپ:22:177:قايغۇ:1:31716
1448:1:كۆڭۈللەر قايغۇدىن:22:177:قايغۇ:1:31716
1449:3:قايغۇدىن يىراق:22:177:قايغۇ:3:31716,40592,103444
1450:1:يىراق بولغۇسى:22:177:قايغۇ:1:31716
1489:21:خېلى جىق:37:1796:سەت:1:104653
1511:18:ئادەم ئاز:28:552:خاتالىق:1:39331
1514:146:تېخىمۇ كۆپ:28:552:خاتالىق:1:75728
1514:146:تېخىمۇ كۆپ:30:25:ئىسراپچىلىق:1:110963
1514:146:تېخىمۇ كۆپ:36:17:يامان نىيەت:1:43273
1514:146:تېخىمۇ كۆپ:37:1796:سەت:2:56268,82680
1515:7:كۆپ ئادەمنى:28:552:خاتالىق:1:52847
1547:7:مۇكاپات بار:28:552:خاتالىق:1:32754
1547:7:مۇكاپات بار:37:1796:سەت:1:73965
1582:61:سىنا مىكرو:22:177:قايغۇ:1:57697
1582:61:سىنا مىكرو:28:552:خاتالىق:2:58297,71710
1589:16:ئەڭ مۇنەۋۋەر:27:401:ئاجىز:1:93579
1612:1:بارىكاللا ئىنىلىرىم:37:1796:سەت:1:72563
1613:1:ماھارىتىڭلارغا كۆز:37:1796:سەت:1:72563
1614:38:كۆز تەگمىسۇن:37:1796:سەت:2:56268,72563
1615:7:ئىش ياخشى:28:552:خاتالىق:1:100332
1618:207:تەرجىمە قىلىپ:6:240:قالايمىقان:2:97781,97900
1618:207:تەرجىمە قىلىپ:28:552:خاتالىق:1:44116
1618:207:تەرجىمە قىلىپ:30:25:ئىسراپچىلىق:1:110963
1618:207:تەرجىمە قىلىپ:33:36:تېتىقسىز:1:67203
1618:207:تەرجىمە قىلىپ:37:1796:سەت:5:51312,60654,62491,97781,97900
1632:7:كەڭ قۇرساقلىق:28:552:خاتالىق:3:94699,94726,94744
1632:7:كەڭ قۇرساقلىق:37:1796:سەت:1:41191
1633:31:مۇئامىلە قىلىش:28:552:خاتالىق:1:69353
1633:31:مۇئامىلە قىلىش:37:1796:سەت:1:74845
1635:61:ئاسان ئەمەس:23:87:غەيرى:1:89282
1641:304:ئېلان قىلىندى:14:42:ئاۋارىچىلىق:1:98470
1641:304:ئېلان قىلىندى:28:552:خاتالىق:3:35308,99531,108475
1641:304:ئېلان قىلىندى:32:111:ساختا:1:86525
1641:304:ئېلان قىلىندى:37:1796:سەت:3:86841,94756,105884
1652:48:مەسىلە بار:37:1796:سەت:1:56227
1656:58:ھېس قىلغان:19:5:خاتىرجەمسىز:1:86086
1656:58:ھېس قىلغان:22:177:قايغۇ:1:67262
1656:58:ھېس قىلغان:27:401:ئاجىز:3:8168,82315,89156
1656:58:ھېس قىلغان:28:552:خاتالىق:2:21184,40843
1656:58:ھېس قىلغان:29:121:زەربە:1:98347
1656:58:ھېس قىلغان:37:1796:سەت:1:47393
1657:15:يېڭى يېڭى:37:1796:سەت:2:13560,19031
1660:63:ياخشى كۆرىمەن:28:552:خاتالىق:3:76794,76798,76799
1671:14:ئەھمىيىتى بار:6:240:قالايمىقان:1:89175
1673:4:مول ئىكەن:27:401:ئاجىز:1:52991
1700:5:قايىل قىلىدىكەن:38:13:قىلتاق:1:91270
1703:171:ئەڭ يېڭى:27:401:ئاجىز:1:70349
1703:171:ئەڭ يېڭى:29:121:زەربە:1:85417
1703:171:ئەڭ يېڭى:37:1796:سەت:3:65971,78479,97671
1715:6:بەك مۇكەممەل:29:121:زەربە:1:42370
1725:11:گۈزەل سۆز:5:59:ئازار:1:34048
1730:4:ئاق بۈركۈتتىكى:37:1796:سەت:1:94807
1751:9:زور ئۇتۇق:20:9:مەغلۇپ بولۇش:1:25196
1754:14:گۈدۈكچى بولدۇم:37:1796:سەت:1:66580
1762:12:ئەمەلگە ئېشىش:37:1796:سەت:2:4193,30438
1788:5:ئۇلۇغ ئاللاھقا:27:401:ئاجىز:1:87209
1788:5:ئۇلۇغ ئاللاھقا:37:1796:سەت:2:56864,58624
1795:5:بىلەت تاشلاڭلار:37:1796:سەت:1:43285
1809:2:يېڭى يىلىنى:23:87:غەيرى:1:101767
1811:92:يېڭى يىل:23:87:غەيرى:1:101767
1811:92:يېڭى يىل:37:1796:سەت:4:75390,75392,75785,82601
1826:3:ئەسلى مەنبەدىكى:28:552:خاتالىق:2:100370,100376
1848:4:ياخشى پايدىلىنىش:37:1796:سەت:1:66580
1850:11:ئىش بولۇپتۇ:22:177:قايغۇ:3:60788,60791,60795
1870:84:ياخشى بوپتۇ:28:552:خاتالىق:2:68647,68657
1870:84:ياخشى بوپتۇ:37:1796:سەت:1:79956
1907:50:كۆپ خىل:26:44:سەۋەنلىك:1:2190
1907:50:كۆپ خىل:27:401:ئاجىز:2:52991,79676
1907:50:كۆپ خىل:37:1796:سەت:1:7082
1912:45:خۇش خەۋەر:22:177:قايغۇ:1:74018
1912:45:خۇش خەۋەر:37:1796:سەت:1:18563
1923:52:ياخشى بولغان:28:552:خاتالىق:2:69956,84706
1923:52:ياخشى بولغان:37:1796:سەت:2:84645,84706
1947:8:مۇقەددەس كىتاب:27:401:ئاجىز:1:76563
1948:49:تەرجىمە قىلىنىپ:29:121:زەربە:1:100951
1950:128:ھازىرقى زامان:15:38:ھادىسە:1:4527
1950:128:ھازىرقى زامان:27:401:ئاجىز:1:103919
1951:114:تەرجىمە قىلغان:6:240:قالايمىقان:1:96878
1951:114:تەرجىمە قىلغان:28:552:خاتالىق:1:96878
1951:114:تەرجىمە قىلغان:37:1796:سەت:2:66722,73785
1961:14:نەقەدەر ياخشى:28:552:خاتالىق:1:69956
1972:1:ياخشى چۈشىنىش:37:1796:سەت:1:76883
1985:6:بارلىققا كەلتۈرىدۇ:27:401:ئاجىز:1:98810
2013:1:ياخشى بىرنىشاننى:37:1796:سەت:1:77050
2014:1:مەخسەت قىلىپتۇ:37:1796:سەت:1:77050
2021:5:تېخىمۇ ئۈنۈملۈك:37:1796:سەت:1:29112
2041:27:ئۈمۈت قىلىمەن:28:552:خاتالىق:1:67927
2041:27:ئۈمۈت قىلىمەن:37:1796:سەت:2:59953,67927
2048:32:ئىش بولدى:28:552:خاتالىق:3:65692,78116,103046
2048:32:ئىش بولدى:37:1796:سەت:1:57447
2066:10:قىززىپ كەتتى:37:1796:سەت:1:88024
