=================== 正面和负面 同时存在的词  ===================
34-ياخشى بولاتتى=正面=6.482103304319001
60-ئىشنى قىل=中立=-0.5820454907729449
63-ناھايىتى ياخشى=正面=5.3414381192506095
69-دەم ئېلىش=正面=12.676200409794983
75-مۇبارەك بولسۇن=正面=7.252621172929408
104-بەك ياخشى=正面=11.519607546707602
105-ياخشى ئادەم=负面=-9.73784928874218
109-ساپ ھاۋا=正面=10.378534749005786
116-بەك كەڭ=正面=2.314108590428063
165-بەك چىرايلىق=正面=14.243064383201034
185-كېرەك دەپ=正面=1.7536742087104642
195-ناھايىتى زور=正面=6.952717773190734
211-ۋاقىت چىقىرىپ=正面=10.465388905510281
222-بۈگۈنكى كۈنگە=正面=1.648180305984242
227-ئۈمىد قىلىمەن=正面=17.56576956975076
251-ھېلىمۇ ياخشى=负面=-2.7484524622562176
263-ياخشى ئىش=负面=-4.34772950138915
264-ئىش قىلىپ=负面=-6.567910510342315
267-كۆڭلۈم يېرىم=负面=-4.909388680471276
268-يېرىم بولدى=中立=0.6481803059842419
269-خېلى كۆپ=正面=4.331514091043614
277-چىرايلىق قىز=正面=9.063734618513532
285-مول ھوسۇل=负面=-1.357353190445525
300-نېمىدىگەن ياخشى=正面=8.074252490427533
330-ئىش بولىدۇ=正面=2.03512951632284
361-تەرەپكە قاراپ=正面=2.404350354803756
370-بار ئىكەن=正面=1.0654089363020631
391-كۈن بولدى=负面=-3.990375887269782
416-چىرايلىق ئىكەن=正面=5.290498664764012
430-ئالىي مەكتەپ=正面=2.895912180575218
448-ئالىي مەكتەپكە=正面=9.131559621762195
462-بەك پەيزى=中立=-0.05730255685572594
496-ئىگىز تاغ=负面=-13.462507873443453
500-تېخىمۇ ياخشى=负面=-8.66864770252105
506-ياخشى چىقىپتۇ=中立=0.6481803059842424
508-رول ئالغان=正面=4.248234709455724
515-تېز سۈرئەتتە=正面=13.094266670712242
516-مۇۋەپپەقىيەت قازىنىشنىڭ=正面=5.676360382227562
541-كۈچلۈك دەپ=正面=4.36391624234631
549-يۇمشاق دېتال=正面=5.991577714494561
551-خېلى يامان=正面=6.181749000606391
554-ياخشى كۆرىدىغان=正面=9.425893058375722
598-رەھمەت قىلسۇن=正面=10.477716685759308
626-ياخشى بولۇپ=正面=14.442772748685137
639-نېسىپ قىلسۇن=负面=-6.421240043959363
653-ئەڭ ئامراق=负面=-6.675722284272728
657-خېلى ياخشى=中立=-0.43398610492219536
672-رازى بولسۇن=正面=7.540430828593013
678-بەك پەيزىكەن=负面=-1.895582105069339
689-ياخشى مەزمۇن=中立=-0.15919859484925336
698-ئاللاھ خالىسا=正面=22.463574983092624
716-قايىل بولدۇم=正面=1.7716526454488446
719-ئەڭ يېقىن=正面=5.333070713825762
728-ئەڭ ئاخىرقى=正面=2.330265646206138
733-ياخشى كۆرۈپ=正面=7.371420112349977
734-مۇمكىن بولسا=中立=0.3814577211626604
746-چوڭقۇر ھېس=正面=7.73134621136381
754-مىكرو بىلوگ=正面=11.395711623610278
769-ساقلىق زور=负面=-1.1472259531831792
770-زور بايلىق=中立=0.43773654753797864
794-مۇھىم ئەمەس=正面=23.47640404118601
818-ھەقىقەتەن ياخشى=正面=8.101986822549058
822-ئادەم يوق=正面=6.4352410863925265
838-ئەڭ ياخشى=正面=16.940324713927726
854-تەۋسىيە قىلىمەن=正面=15.541130137376314
880-يۇمشاق دېتالنى=正面=4.82396720397535
885-كىچىك بالىلار=正面=5.453739474104974
900-يامان ئەمەس=正面=5.131091535235702
902-ئۇيغۇرچە مىكرو=正面=10.602056126217693
903-مىكرو بىلوگى=正面=11.104223041519324
905-دىققەت قىلىشىنى=负面=-2.6573150371911636
906-ئۈمىد قىلىمىز=正面=17.897759447708612
914-مىكرو بىلوگنى=正面=1.8534695931788607
944-تاقابىل تۇرۇش=正面=1.1464898241067125
963-غەرق بول=正面=9.124951818516564
972-ئۈرۈمچى كەچلىك=正面=1.720459215076858
1010-خۇرسەن بولدۇم=负面=-1.18322182405577
1023-يېرىم مۇۋەپپەقىيەت=负面=-1.8365012677171197
1113-ئۇيغۇرچە خەتلىك=正面=6.463858119906916
1115-پەيزى ئىش=负面=-9.951621848115686
1122-چىرايلىق قىزلار=正面=9.063734618513534
1153-يوق كىشى=中立=0.8643316847992022
1154-كىشى ھەقىقىي=正面=4.132097248096846
1158-ئەڭ ياخشىسى=正面=14.034143800544701
1176-ئەڭ ئېسىل=正面=16.635629701099063
1191-مۇ يە=正面=5.461011136168004
1208-نورمال ئادەم=负面=-7.454603472550937
1248-كۆپ بولسىمۇ=中立=-0.2597410172691301
1253-ئالدىنقى يېرىم=中立=0.771652645448845
1256-ئۇلۇغ ئاللاھ=负面=-3.1809298985042425
1258-ئاسانلىق بەرسۇن=正面=10.156431116641318
1259-بەك مودا=负面=-3.042885812853175
1278-سالام دەپ=负面=-2.357353190445525
1295-خەت يازسام=负面=-1.6615560296029361
1306-بەك كۆپ=中立=-0.5817714733044514
1311-يۇقىرى دەرىجىلىك=正面=6.161509168573576
1313-تەرەپ قىلىش=负面=-11.941659963283847
1318-قىزىق يېرى=负面=-4.393894018643568
1322-تايىنى يوق=正面=2.2545278009768097
1327-ھۆرمەت قىلىش=中立=-0.41721753812965545
1377-ئەڭ ئۇلۇغ=正面=8.634967444902014
1397-غەيرەت قىل=正面=1.9761999838913624
1407-قۇرۇق گەپ=正面=8.937305427585738
1414-ھەقىقەتەن گۈزەل=正面=9.063734618513536
1489-خېلى جىق=正面=1.6481803059842417
1514-تېخىمۇ كۆپ=中立=-0.6735002992939805
1582-سىنا مىكرو=正面=5.643209311388349
1589-ئەڭ مۇنەۋۋەر=正面=14.264956298303868
1614-كۆز تەگمىسۇن=正面=4.574676655140699
1618-تەرجىمە قىلىپ=负面=-9.032487935204774
1632-كەڭ قۇرساقلىق=负面=-4.789022511621497
1633-مۇئامىلە قىلىش=正面=3.606957643257729
1635-ئاسان ئەمەس=正面=6.147805054831428
1641-ئېلان قىلىندى=正面=3.6653966430299514
1652-مەسىلە بار=正面=4.655688896632471
1656-ھېس قىلغان=负面=-16.459739708288915
1657-يېڭى يېڭى=正面=2.4530196301230633
1660-ياخشى كۆرىمەن=负面=-2.3013967844715095
1671-ئەھمىيىتى بار=中立=-0.15919859484925425
1703-ئەڭ يېڭى=正面=9.955847266140443
1715-بەك مۇكەممەل=正面=1.3953012812175816
1725-گۈزەل سۆز=正面=3.7868850152613724
1730-ئاق بۈركۈتتىكى=正面=2.120573663321702
1751-زور ئۇتۇق=正面=13.274853859606548
1762-ئەمەلگە ئېشىش=正面=10.502390607240656
1811-يېڭى يىل=负面=-2.8755162783667165
1826-ئەسلى مەنبەدىكى=负面=-1.3773048519237348
1848-ياخشى پايدىلىنىش=正面=1.7204592150768576
1850-ئىش بولۇپتۇ=负面=-2.207469370302447
1870-ياخشى بوپتۇ=正面=4.892503489821143
1907-كۆپ خىل=正面=19.10537183135866
1912-خۇش خەۋەر=中立=-0.22690810506241643
1923-ياخشى بولغان=正面=16.88976338077627
1948-تەرجىمە قىلىنىپ=中立=-0.12903722916946592
1950-ھازىرقى زامان=正面=6.84992034539098
1951-تەرجىمە قىلغان=中立=0.27440918824416993
2021-تېخىمۇ ئۈنۈملۈك=正面=1.648180305984241
2041-ئۈمۈت قىلىمەن=正面=3.4530196301230642
2048-ئىش بولدى=中立=-0.9391360238653279
2109-كۆز قاراش=正面=3.1664292243443377
2113-ئۇيغۇر دىگەن=正面=4.314856518442191
2119-يېڭى باش=负面=-2.302555961838881
2167-گەپ قىلدىڭىز=正面=3.2163115144502097
2220-قول سېلىپ=正面=5.525266338855171
2224-ھەربىتى راھەت=中立=0.3178584305783154
2226-شاتلىق كەلگىنى=中立=0.3178584305783154
2227-ھىكمەت قىلغۇسى=中立=0.3178584305783154
2228-جۇتنى باھار=中立=0.3178584305783154
2229-باھار بولمىسا=中立=0.3178584305783154
2230-ھىكمەت ئامىتىم=中立=0.3178584305783154
2231-ئامىتىم ئاپەت=中立=0.3178584305783154
2232-نىمىدىگەن پاساھەتلىك=中立=0.3178584305783154
2233-پاساھەتلىك تىللار=中立=0.3178584305783154
2258-بايان قىلىش=正面=3.7960739377161072
2259-نامايەن قىلىش=正面=5.465250978138759
2260-ئىقتىدارىنى يېتىلدۈرۈش=中立=0.9856128942126237
2261-كەم بولسا=正面=5.774721063145949
2285-فىلىمنى كۆرۈپ=正面=8.524337757654358
2295-ھالەتكە چۈشۈپ=正面=2.457633867574902
2306-ئېلان قىلغان=正面=3.6025509296685154
2319-ھېس قىلىۋاتىمەن=正面=19.65356314655889
2321-ئاز قالغان=正面=14.856235725128968
2332-ئۆزىمىزدىن باشلايلى=正面=1.0424352663203962
2353-مەغلۇپ بولغان=负面=-4.667724001275351
2377-كۆپ رەھمەت=正面=4.598134259657865
2384-ئىگە بولغان=正面=3.008207391497823
2385-ئادەم ئەمەس=正面=4.641383253245063
2396-تەسىر قىلدى=正面=2.702047177962977
2399-خۇدايىم ساق=负面=-1.5558073843138214
2400-ساق سالامەت=中立=0.21203332945420428
2417-قىسقا فىلىم=正面=9.831985356940313
2420-فىلىم ئىشلەش=负面=-2.709174528118701
2441-ياخشى ئىشلەنگەن=中立=0.01841203711388051
2445-بەك پەچەت=负面=-3.920565532505595
2450-ئىگە بولۇپ=正面=15.915909380067928
2492-يۇمشاق دىتال=负面=-4.794194327002516
2539-بەخىت تىلەش=正面=12.16558456555125
2540-مەزمۇنى ياخشكەن=正面=4.087462841250341
2547-ئاتا قىلسۇن=正面=6.608142067298972
2576-ياخشى ئىكەن=正面=1.7204592150768587
2580-ئاپتونوم رايونلۇق=正面=9.98759887390921
2589-ھې ھې=正面=8.599759189698576
2596-كۈچ چىقىرىپ=正面=11.184965713289934
2625-بايلىقى مول=正面=4.772655275520353
2648-ھېس قىلىمەن=正面=9.462480240700193
2656-ئاتا قىلدى=正面=7.596054196792078
2658-پۈتۈن دۇنيا=负面=-6.928670797579649
2660-ھىس قىلدىم=正面=5.193115604981614
2783-سوۋغا قىلاي=中立=-0.44265399320936805
2793-كۈن بار=中立=-0.8181616770141868
2800-ئاللاھقا چەكسىز=正面=1.4015163596252256
2813-خەتلىك فىلىم=负面=-5.137693625387039
2848-ئالدىنقى كۈنى=负面=-1.3773048519237356
2863-ياخشى خەۋەر=正面=1.660824515236465
2864-خەۋەر بولدى=负面=-1.622506869581291
2895-چوڭ سۈپەت=正面=1.324742326039242
2914-ئىنتايىن ياخشى=正面=27.039910757864817
2915-ياخشى جاي=负面=-8.156086364823597
2957-ئىنتايىن كۆپ=正面=12.098841797961661
2970-ئارام ئېلىش=负面=-1.2637087697577067
2976-يامان ئىش=负面=-4.870193916843915
2977-ئىنتايىن ئاز=正面=7.16127571172962
2994-ئەڭ يۇقىرى=正面=4.737249099047834
3029-تەرجىمە قىلىش=正面=3.902027484399201
3046-ھېس قىلدىم=正面=6.933529873109274
3054-خېلى بولدى=正面=11.980435429322194
3069-ھېرىپ كەتتىم=正面=3.4530196301230633
3098-گەپ قىلىش=负面=-1.2912205072716372
3103-ئوتلۇق سالام=正面=10.838134683072687
3110-ئوخشاش ئىدى=中立=0.9574604550354762
3111-تېخىمۇ كۈچلۈك=负面=-3.839837585000959
3120-ئوتتۇرا ئاسىيادىكى=负面=-1.984559037662005
3129-تېخىمۇ ئاشتى=正面=8.226912013378293
3131-پەرقى يوق=中立=0.5000351332657216
3143-بەكلا قىزىق=正面=1.702047177962977
3146-ئاز تولا=负面=-4.268799135908461
3157-غا قاراپ=负面=-6.266543778976656
3167-سۈرئەتتە مۇۋەپپەقىيەت=正面=5.9076859283340175
3183-رول ئېلىش=负面=-3.787177040119974
3202-ئامال يوق=负面=-8.558801024263932
3207-ئوتتۇرا مەكتەپ=中立=0.2168967429227162
3244-ياردەم بېرىدۇ=负面=-1.978626349207433
3250-چوڭ بولسا=正面=2.120573663321701
3254-ئېلان قىلدى=正面=7.7462921671262315
3287-چىڭ تۇت=正面=12.591562242659062
3334-ھىلال ئاي=负面=-1.7711347341448511
3392-ئىش بار=正面=6.396222783504795
3393-بار ئىدى=正面=1.3699379998833718
3401-لوڭقىسىنى تالىشىش=正面=2.771652645448845
3411-خېلى چوڭ=负面=-3.0305428741784164
3415-گەپ يوق=正面=12.172354266800404
3463-كەڭ قۇرساق=负面=-12.501859771840664
3485-كۈچى كۈچلۈك=中立=0.6085394371626185
3614-ئەڭ مۇھىمى=正面=14.380063547518787
3622-بار دەپ=中立=0.8014983825045139
3650-ئەمەلىي كۈچ=中立=0.15142241521588318
3696-ئەھمىيەتلىك ئىشلار=负面=-1.4863633381027626
3746-تەسىر كۆرسىتىدۇ=负面=-17.59543692580513
3754-ئۇلۇغ ئاللا=负面=-4.821848805199412
3757-جەننەتتە قىلغاي=负面=-2.489496491479289
3800-جارى قىلدۇرالايدۇ=正面=1.3247423260392424
3830-يىل بولدى=正面=3.5113130620189494
3847-ۋاھ ۋاھ=正面=2.1205736633217014
3853-ئادەم بولسا=正面=1.3247423260392421
3990-ئەھمىيەتلىك ئىش=正面=3.00679588547699
4007-ئاز ساندىكى=负面=-18.023451006348882
4037-دىن ئېشىپ=正面=13.455284593918831
4086-كېرەك ئىدى=负面=-2.251471559139828
4103-ئۇيقۇ يوق=负面=-12.248874977400828
4133-چى بولغان=负面=-11.018959484810631
4229-قىممىتى بار=正面=11.835810486755944
4275-چوڭ چوڭ=正面=8.141028649231007
4276-چوڭ ئىشلارنى=负面=-3.3820152446797946
4280-ئىشنى قىلىپ=负面=-3.6739823447295605
4301-چوقۇم ياخشى=中立=0.8740809170296773
4346-ياخشى تەرەپلىرى=正面=2.7020471779629776
4351-ئالدىغا ئۆتۈپ=负面=-3.3337762540040607
4398-ھاجىتى يوق=正面=5.207281165538486
4423-ئالىي مەكتەپتە=负面=-1.5291316890887758
4476-خېلى بار=中立=-0.053866871978736075
4477-بار ئوخشايدۇ=负面=-1.6810405804929132
4577-قارا تەنلىكلەر=正面=4.882230581465823
4662-ئاتا قىلغان=正面=3.30347132479094
4663-جەننەتتە بولغاي=负面=-3.2797482793950636
4710-پۇرسەتنى چىڭ=正面=11.140206267098263
4713-بارەك بولسۇن=正面=8.474957774470019
4717-كۈچلۈك بولىشى=中立=-0.3914605628373824
4735-ئېغىر ئەمەس=正面=1.7716526454488442
4748-ئاتا قىلىدۇ=正面=32.59646805127541
4786-مۇمكىن ئەمەس=正面=3.6127651365951508
4823-غەيرەت قىلىڭ=正面=4.76805733655364
4833-دىققەت قىلىدىغان=正面=5.695975394339645
4834-نۇرغۇن ئىشلارنى=正面=5.228211780837909
4873-خام خىيال=正面=10.175939277430697
4880-ئادىل ھوشۇر=正面=9.28852845167723
4948-ناھايىتى كۆپ=正面=1.1602447905866624
4979-ئارتۇق گەپ=负面=-11.646725374044477
5113-ئورۇندا تۇرۇپ=正面=2.5626441212975615
5120-بەك چوڭ=正面=3.86474537713993
5239-راست گەپنى=正面=10.524651496415105
5241-بەك سەت=负面=-1.879426336678299
5314-ناھايىتى مۇھىم=正面=7.561175858250538
5326-يامان دەپ=正面=6.110131916600055
5378-ئالدىنى ئالغىلى=正面=3.4000771101364844
5380-ئىش ئەمەس=负面=-6.306629797209718
5410-ئەڭ ئاز=中立=-0.7549184775698716
5429-ھېس قىلىپ=负面=-6.202051944972835
5491-يوق دەپ=负面=-3.610972547203761
5540-بەك ئۇزاق=负面=-3.499428408960964
5577-ئادەم دىگەن=负面=-1.2555007331483874
5580-ئۇزۇن ئۆمۈر=正面=8.0700732712712
5600-كىچىك بولغان=负面=-9.656427472280024
5621-بەك جىق=正面=5.474855284121467
5724-ياخشىلىق قىل=正面=4.838963420036919
